Score,Track ID,Artist,Song,Genre,Release Date,Topic_1,Topic_2,Topic_3,Feature_1,Feature_2,Feature_3
,23723,the rolling stones,sympathy for the devil,"[376, 617, 2340, 47]",1966,"(1, 0.3116658473845667)","(10, 0.2117005184888807)","(8, 0.1889043307529329)","(6, 0.8898864509081764)","(5, 0.8773701566364386)","(2, 0.6996641284003794)"
50.33112673275636,24106,aerosmith,walk this way,"[617, 2340, 1265, 47]",1975,"(8, 0.3517085860332994)","(10, 0.2469326849920945)","(7, 0.1062036978271555)","(5, 0.8969497114591921)","(6, 0.730722320857268)","(2, 0.6421044535035766)"
50.18744441566493,24294,van halen,ain't talkin' 'bout love,"[617, 2340, 1265, 47]",1978,"(8, 0.401154588377052)","(7, 0.1574108067806718)","(1, 0.0988040143603817)","(6, 0.9389370318672614)","(2, 0.7613004127887598)","(5, 0.7073371805441054)"
47.33112673275636,24084,led zeppelin,trampled under foot,"[617, 2340, 1265, 47]",1975,"(8, 0.4468775536905858)","(7, 0.2094328435433806)","(5, 0.0581541390799188)","(5, 0.84439406430338)","(6, 0.8428379344780338)","(2, 0.7214573237956055)"
47.07139192074038,24447,ac/dc,shoot to thrill,"[1265, 2340, 173, 47]",1980,"(8, 0.3278038760894205)","(1, 0.1819045951417661)","(10, 0.1801429956108159)","(6, 0.9049019348752432)","(2, 0.7782478270902238)","(5, 0.4703215169002473)"
46.092337717028514,16212,santana,back in black,"[617, 1759, 2340, 303]",2010,"(1, 0.3251722962813279)","(8, 0.2698051510799364)","(10, 0.1807414279945912)","(6, 0.9829824515039908)","(2, 0.8542676204394533)","(5, 0.571310799670239)"
44.29177458908532,23884,the doors,peace frog,"[2340, 617, 11, 47, 2257]",1970,"(1, 0.6117114606342331)","(10, 0.144338051206965)","(12, 0.0582441024014704)","(5, 0.8134789777411376)","(6, 0.7257171595349123)","(2, 0.7230213060533803)"
44.0,13200,the animals,boom boom (bonus track),"[1060, 2340, 2246, 617, 303, 47, 2257, 376]",1966,"(8, 0.3360178228680122)","(1, 0.2110743413841218)","(3, 0.2091750006916271)","(5, 0.8876751854905194)","(6, 0.8528482571227448)","(2, 0.7978104248391149)"
43.72583194147707,24997,poison,look what the cat dragged in,"[1265, 1188, 2340, 47]",1986,"(1, 0.428729430815511)","(10, 0.1701950003853547)","(13, 0.1422848884980179)","(6, 0.960959741685626)","(2, 0.8336025433940979)","(5, 0.598103874690849)"
43.57918735057182,25212,white lion,radar love,"[1265, 1188, 2340, 47]",1989,"(9, 0.3437886271235622)","(10, 0.2687132729954045)","(8, 0.1484495936214758)","(6, 0.8588544507095716)","(2, 0.7063815603927902)","(5, 0.5558532563891178)"
43.057831759568806,16645,rick derringer,demolition,"[617, 2547, 303, 47]",2015,"(14, 0.5177326932348228)","(10, 0.1622347494755152)","(8, 0.1187601230001881)","(6, 0.9529514835698571)","(2, 0.7551470399712842)","(5, 0.5744023083264632)"
41.36239137933565,13681,deep purple,highball shooter,"[2340, 617, 303, 47, 1265, 1754]",1974,"(8, 0.3527796789239539)","(10, 0.2539687211702119)","(7, 0.1927985961264275)","(5, 0.8330585325638913)","(6, 0.6956861916007786)","(2, 0.6040560982488525)"
